processed_text,label,original_text
available crazy go got great la point wat world,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
"
lar ok wif,0,"Ok lar... Joking wif u oni...
"
apply comp cup entry final free may receive st text txt win wkly,1,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
"
already dun early say,0,"U dun say so early hor... U c already then say...
"
around dont go life nah think though usf,0,"Nah I don't think he goes to usf, he lives around here though
"
back freemsg fun hey id like ok send std still week word xxx,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
"
brother even like speak treat,0,"Even my brother is not like to speak with me. They treat me like aids patent.
"
caller callertune copy friend per press request set,0,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"
call claim code customer hour network prize reward selected valid valued winner,1,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
"
call camera co colour free latest mobile month update,1,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
"
anymore dont enough gon home im ive na soon stuff talk today tonight want,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
"
apply cash chance cost day info pound reply send txt win,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
"
claim free pobox prize tc txt urgent week word,1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
"
help ive promise right take thank time wonderful wont word,0,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
"
date sunday,0,"I HAVE A DATE ON SUNDAY WITH WILL!!
"
credit link message next txt use wap,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
"
oh watching,0,"Oh k...i'm watching here:)
"
eh make name remember yes,0,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
"
feel fine thats way,0,"Fine if thats the way u feel. Thats the way its gota b
"
dont eg england miss national news txt ur,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
"
name seriously,0,"Is that seriously how you spell his name?
"
going ha im month try,0,"I‘m going to try for 2 months ha ha only joking
"
comin da first lar pay,0,"So ü pay first lar... Then when is da stock comin...
"
aft already ard finish go lor lunch smth ur,0,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
"
alright meet way,0,"Ffffffffff. Alright no way I can meet up with you sooner?
"
eat getting hungry im know lol mark pizza really sick tho turn worried,0,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
"
always lol,0,"Lol your always so convincing.
"
bus catch dinner feel left love make mom,0,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
"
amp back car ill im know let room there,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room
"
feel like lol remember work,0,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
"
doesnt live still sure thats wait want,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
"
cheer child go got like till wont yeah,0,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
"
anything tell,0,"K tell me anything about you.
"
quick,0,"For fear of fainting with the of all that housework you just did? Quick have a cuppa
"
charged confirm mobile month please reply ringtone thanks uk yes,1,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
"
go going home lesson look may msg nd ok yup,0,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
"
done ill know let oops roommate,0,"Oops, I'll let you know when my roommate's done
"
car see,0,"I see the letter B on my car
"
